store, title, price
NW,Ploughmans Bakery Soy & Canterbury Linseed Bread 750g,3.29
NW,Tip Top Supersoft White Sandwich Bread 700g,3.49
NW,Produce Yellow Capsicum ea,2.89
NW,Nature's Fresh White Sandwich Bread 700g,2.99
NW,Anchor Trim Milk 1l,2.82
NW,Anchor Trim Milk 2l,4.48
NW,Country Soft Canola Oil And Buttermilk Spread 500g,2.99
NW,Produce Braeburn Apples kg,3.99
NW,Hellers Manuka Smoked Shaved Leg Ham 200g,4.29
NW,Pams Fresh Express Round Beans 250g,3.99
NW,Mainland Semi-Soft Butter 500g,7.49
NW,Leaderbrand Spinach Salad 120g,3.99
NW,Nature's Fresh Wheatmeal Toast Bread 700g,2.99
NW,Produce Yellow Agria Potatoes kg,3.49
NW,Pams Fresh Express Spinach ea,4.99
NW,Butchery Beef Flavoured Sausages kg,9.49
NW,Produce Green Capsicum ea,2.89
NW,Produce Celery Half ea,2.99
NW,Produce Jazz Apples kg,4.99
NW,Nature's Fresh Multigrain Toast Bread 700g,2.99
NW,Ploughmans Bakery Farmhouse Wholemeal Bread 750g,3.29
NW,Ryans Bacon Middle Bacon 800g,9.99
NW,Produce Beurre Bosc Pears kg,3.99
NW,Farmer Brown Eggs Size 6 20ea,7.29
NW,Produce Strawberry Tomatoes 250g,4.99
NW,Sunny Crust White Toast Bread 600g,1.69
NW,Butchery NZ Beef Bolar Roast kg,19.99
NW,Freedom Farms Streaky Bacon 250g,9.49
NW,Produce Parsnips kg,6.49
NW,Country Choice Coleslaw kg,9.90
NW,Ploughmans Bakery Harvest Rye Bread 750g,3.29
NW,Tip Top Supersoft Honeygrain Toast Bread 700g,3.49
NW,Woodland Free Range Eggs Grade 6 10ea,5.79
NW,Produce Cauliflower Half ea,1.79
NW,Bulk Foods Roasted Salted Cashews kg,29.90
NW,The Natural Free-Range Co. Natural White SPCA Eggs 12ea,6.99
NW,Ploughmans Bakery Wholemeal & Grains Bread 750g,3.29
NW,Flora Pro-activ Buttery Spread 500g,6.99
NW,Tararua Dairy Co Butter 500g,6.99
NW,Medallion Middle Bacon 800g,9.29
NW,Beehive Shoulder Bacon 200g,2.99
NW,Farmer Brown Eggs Size 8 Jumbo 10ea,4.49
NW,Westgold Unsalted Butter 400g,4.49
NW,Taylor Farms Asian Chopped Salad Kit 350g,5.99
NW,The Collective Straight Up Unsweetened Natural Probiotic Yoghurt 900g,6.99
NW,Produce Rockmelon ea,8.99
NW,Produce Agria Potatoes 2kg,3.99
NW,Hellers Free Farmed Danish Eye Bacon 250g,8.99
NW,Butchery Pork Flavoured Sausages kg,9.49
NW,Waitoa Free Range Whole Chicken 1.5kg ea,15.99
NW,Taylor Farms Southwest Chopped Salad Kit 350g,5.99
NW,Bulk Foods American Raw Walnuts kg,39.90
NW,Produce Black Plums kg,6.99
NW, Pams Fresh Express Bunched Silverbeet ea,4.99
NW,De Winkel All Natural Plain Unsweetened Yoghurt 1kg,5.49
NW,Yoplait Greek Style Natural Yogurt 1kg,5.99
NW,MeadowLea Original Spread 500g,3.25
NW,Hellers Pre-Cooked Sausages 1kg,8.99
NW,Farmer Brown Large Size 7 Eggs 18ea,7.05
NW,Butchery NZ Gravy Beef kg,18.99
NW,Anchor Dairy Blend Spread Blue 500g,4.89
NW,Hellers Pure Angus Beef Burgers 400g,8.49
NW,Regal Cold Smoked Salmon 200g,13.99
NW,Produce Red Tamarillos  kg,16.99
NW,Anchor Zero Lacto Milk Blue 1l,4.01
NW,Bulk Foods Raw Brazil Nuts kg,54.90
NW,Produce Gourmandine Potatoes 1.5kg,6.99
NW,Medallion Sliced Streaky Bacon 800g,13.49
NW,Bakery French Stick ea,1.99
NW,Produce Limes kg,7.99
NW,Pams Fresh Express Agria Potatoes 2.5kg,6.99
NW,Value Table Spread 500g,1.49
NW,Grandpa's Streaky Bacon 500g,10.69
NW,Sunny Crust Multigrain Toast Bread 600g,1.69
NW,Quality Bakers Original English Muffin Splits 6ea,2.99
NW,Regal Wood Roasted Salmon 200g,13.99
NW,MeadowLea Buttery Spread 500g,3.25
NW,Produce Feijoas kg,9.99
NW,Produce Fancy Green Lettuce ea,2.29
NW,Olivani Olive Oil Spread 1kg,8.99
NW,Mainland Semi-Soft Butter 250g,4.49
NW,Bulk Foods Natural Almonds kg,32.90
NW,Leaderbrand Beetroot 250g,4.99
NW,Sunrise Table spread 500g,2.09
NW,Regal Cold Smoked Salmon 2pk,10.39
NW,Produce Cos Lettuce ea,3.99
NW,Beehive Shaved Champagne Ham 2pk,2.49
NW,Ploughmans Bakery Pumpkin & Sunflower Seeds Bread 750g,3.29
NW,Produce Green Cabbage ea,2.79
NW,Burgen Soy & Linseed Toast Bread 700g,3.79
NW,Pams Fresh Express Baby Cos Lettuce Salad 120g,3.69
NW, Waitoa Free Range Skinless Chicken Breast kg,27.99
NW,Lewis Road Creamery Premium New Zealand Lightly Salted Butter 250g,6.79
NW,Tip Top The One Toast Bread 700g,3.49
NW,Hellers Streaky Bacon 250g,5.99
NW,Pams Fresh Seasonal Salad Leaves 120g,3.69
NW,Beehive Shaved Champagne Ham 2pk,4.49
NW,Leaderbrand Broccoslaw And Dressing 450g,5.99
NW,Meadow Fresh Kalo Natural Authentic Greek Yoghurt 800g,6.89
NW,Regal Double Manuka Wood Roasted Salmon 200g,13.99
NW,Lewis Road Creamery Organic Homogenised Milk 1.5l,6.79
NW,Regal Mixed Peppers & Spices Wood Roasted Salmon 200g,13.99
NW,Pams Fresh Express Washed Red Potatoes 2.5kg,7.99
NW,Pams Fresh Express Baby Rocket Salad 120g,3.69
NW,Produce Beetroot kg,5.49
NW,Produce Sweet Tango Apples kg,5.49
NW,Bostock's Free Range Organic Chicken 1.35kg ea,22.99
NW,Woodland Free Range Size 7 Eggs 6ea,4.49
NW,Bulk Foods Deluxe Raw Mixed Nuts kg,39.90
NW,Sunny Crust Wholemeal Toast Bread 600g,1.69
NW,Produce Celery ea,4.99
NW,Fresh 'n Fruity Vanilla Bean Yoghurt 1kg,5.49
